"2mn+8cr G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,2.0050
201.00,1.8664
202.00,1.7478
203.00,1.6438
204.00,1.5471
205.00,1.4581
206.00,1.3796
207.00,1.3061
208.00,1.2392
209.00,1.1770
210.00,1.1215
211.00,1.0721
212.00,1.0223
213.00,0.9781
214.00,0.9374
215.00,0.8991
216.00,0.8646
217.00,0.8331
218.00,0.8050
219.00,0.7793
220.00,0.7562
221.00,0.7357
222.00,0.7167
223.00,0.6996
224.00,0.6842
225.00,0.6700
226.00,0.6570
227.00,0.6450
228.00,0.6339
229.00,0.6238
230.00,0.6145
231.00,0.6063
232.00,0.5983
233.00,0.5909
234.00,0.5839
235.00,0.5775
236.00,0.5717
237.00,0.5662
238.00,0.5617
239.00,0.5575
240.00,0.5540
241.00,0.5507
242.00,0.5476
243.00,0.5449
244.00,0.5429
245.00,0.5408
246.00,0.5390
247.00,0.5376
248.00,0.5363
249.00,0.5351
250.00,0.5340
251.00,0.5327
252.00,0.5313
253.00,0.5301
254.00,0.5282
255.00,0.5260
256.00,0.5234
257.00,0.5203
258.00,0.5166
259.00,0.5128
260.00,0.5086
261.00,0.5035
262.00,0.4984
263.00,0.4926
264.00,0.4866
265.00,0.4805
266.00,0.4740
267.00,0.4675
268.00,0.4610
269.00,0.4543
270.00,0.4482
271.00,0.4421
272.00,0.4361
273.00,0.4307
274.00,0.4253
275.00,0.4203
276.00,0.4153
277.00,0.4109
278.00,0.4069
279.00,0.4032
280.00,0.3995
281.00,0.3965
282.00,0.3931
283.00,0.3902
284.00,0.3875
285.00,0.3846
286.00,0.3818
287.00,0.3787
288.00,0.3755
289.00,0.3729
290.00,0.3701
291.00,0.3669
292.00,0.3632
293.00,0.3593
294.00,0.3557
295.00,0.3519
296.00,0.3478
297.00,0.3437
298.00,0.3392
299.00,0.3342
300.00,0.3293
301.00,0.3249
302.00,0.3213
303.00,0.3176
304.00,0.3139
305.00,0.3060
306.00,0.3010
307.00,0.2965
308.00,0.2935
309.00,0.2918
310.00,0.2904
311.00,0.2882
312.00,0.2856
313.00,0.2832
314.00,0.2813
315.00,0.2815
316.00,0.2834
317.00,0.2859
318.00,0.2885
319.00,0.2905
320.00,0.2920
321.00,0.2937
322.00,0.2966
323.00,0.3013
324.00,0.3065
325.00,0.3128
326.00,0.3183
327.00,0.3235
328.00,0.3278
329.00,0.3325
330.00,0.3374
331.00,0.3434
332.00,0.3501
333.00,0.3563
334.00,0.3617
335.00,0.3670
336.00,0.3712
337.00,0.3756
338.00,0.3790
339.00,0.3829
340.00,0.3870
341.00,0.3908
342.00,0.3942
343.00,0.3965
344.00,0.3982
345.00,0.3990
346.00,0.3991
347.00,0.3988
348.00,0.3979
349.00,0.3976
350.00,0.3968
351.00,0.3958
352.00,0.3934
353.00,0.3900
354.00,0.3863
355.00,0.3811
356.00,0.3758
357.00,0.3699
358.00,0.3649
359.00,0.3604
360.00,0.3539
361.00,0.3491
362.00,0.3429
363.00,0.3363
364.00,0.3286
365.00,0.3201
366.00,0.3116
367.00,0.3034
368.00,0.2955
369.00,0.2890
370.00,0.2832
371.00,0.2771
372.00,0.2711
373.00,0.2643
374.00,0.2574
375.00,0.2511
376.00,0.2418
377.00,0.2325
378.00,0.2242
379.00,0.2167
380.00,0.2098
381.00,0.2044
382.00,0.1980
383.00,0.1925
384.00,0.1869
385.00,0.1799
386.00,0.1729
387.00,0.1651
388.00,0.1575
389.00,0.1498
390.00,0.1435
391.00,0.1378
392.00,0.1320
393.00,0.1274
394.00,0.1230
395.00,0.1187
396.00,0.1143
397.00,0.1101
398.00,0.1061
399.00,0.1021
400.00,0.0979
401.00,0.0945
402.00,0.0907
403.00,0.0880
404.00,0.0849
405.00,0.0824
406.00,0.0806
407.00,0.0786
408.00,0.0772
409.00,0.0757
410.00,0.0745
411.00,0.0735
412.00,0.0724
413.00,0.0717
414.00,0.0710
415.00,0.0707
416.00,0.0700
417.00,0.0699
418.00,0.0695
419.00,0.0692
420.00,0.0690
421.00,0.0689
422.00,0.0686
423.00,0.0686
424.00,0.0688
425.00,0.0664
426.00,0.0665
427.00,0.0666
428.00,0.0665
429.00,0.0666
430.00,0.0667
431.00,0.0668
432.00,0.0668
433.00,0.0669
434.00,0.0669
435.00,0.0672
436.00,0.0672
437.00,0.0673
438.00,0.0675
439.00,0.0675
440.00,0.0674
441.00,0.0676
442.00,0.0678
443.00,0.0677
444.00,0.0676
445.00,0.0677
446.00,0.0678
447.00,0.0679
448.00,0.0681
449.00,0.0683
450.00,0.0685
451.00,0.0686
452.00,0.0688
453.00,0.0690
454.00,0.0690
455.00,0.0690
456.00,0.0691
457.00,0.0689
458.00,0.0688
459.00,0.0688
460.00,0.0689
461.00,0.0689
462.00,0.0694
463.00,0.0697
464.00,0.0704
465.00,0.0710
466.00,0.0718
467.00,0.0726
468.00,0.0733
469.00,0.0737
470.00,0.0741
471.00,0.0744
472.00,0.0746
473.00,0.0747
474.00,0.0746
475.00,0.0747
476.00,0.0751
477.00,0.0757
478.00,0.0766
479.00,0.0779
480.00,0.0794
481.00,0.0813
482.00,0.0832
483.00,0.0851
484.00,0.0871
485.00,0.0889
486.00,0.0903
487.00,0.0914
488.00,0.0921
489.00,0.0924
490.00,0.0925
491.00,0.0924
492.00,0.0925
493.00,0.0928
494.00,0.0936
495.00,0.0948
496.00,0.0967
497.00,0.0992
498.00,0.1021
499.00,0.1054
500.00,0.1087
501.00,0.1124
502.00,0.1157
503.00,0.1187
504.00,0.1212
505.00,0.1229
506.00,0.1237
507.00,0.1239
508.00,0.1232
509.00,0.1223
510.00,0.1211
511.00,0.1199
512.00,0.1193
513.00,0.1192
514.00,0.1198
515.00,0.1214
516.00,0.1239
517.00,0.1271
518.00,0.1307
519.00,0.1346
520.00,0.1391
521.00,0.1431
522.00,0.1468
523.00,0.1497
524.00,0.1518
525.00,0.1527
526.00,0.1524
527.00,0.1508
528.00,0.1483
529.00,0.1450
530.00,0.1411
531.00,0.1373
532.00,0.1338
533.00,0.1309
534.00,0.1286
535.00,0.1275
536.00,0.1274
537.00,0.1281
538.00,0.1297
539.00,0.1318
540.00,0.1344
541.00,0.1369
542.00,0.1397
543.00,0.1421
544.00,0.1439
545.00,0.1449
546.00,0.1447
547.00,0.1434
548.00,0.1409
549.00,0.1372
550.00,0.1325
551.00,0.1270
552.00,0.1212
553.00,0.1151
554.00,0.1093
555.00,0.1039
556.00,0.0993
557.00,0.0950
558.00,0.0918
559.00,0.0894
560.00,0.0876
561.00,0.0864
562.00,0.0858
563.00,0.0855
564.00,0.0855
565.00,0.0855
566.00,0.0855
567.00,0.0853
568.00,0.0849
569.00,0.0839
570.00,0.0824
571.00,0.0803
572.00,0.0778
573.00,0.0747
574.00,0.0712
575.00,0.0672
576.00,0.0630
577.00,0.0587
578.00,0.0545
579.00,0.0503
580.00,0.0466
581.00,0.0430
582.00,0.0398
583.00,0.0371
584.00,0.0347
585.00,0.0325
586.00,0.0307
587.00,0.0292
588.00,0.0279
589.00,0.0269
590.00,0.0259
591.00,0.0251
592.00,0.0245
593.00,0.0240
594.00,0.0235
595.00,0.0232
596.00,0.0228
597.00,0.0225
598.00,0.0222
599.00,0.0220
600.00,0.0220
601.00,0.0217
602.00,0.0214
603.00,0.0212
604.00,0.0210
605.00,0.0209
606.00,0.0207
607.00,0.0204
608.00,0.0203
609.00,0.0201
610.00,0.0199
611.00,0.0198
612.00,0.0196
613.00,0.0195
614.00,0.0194
615.00,0.0193
616.00,0.0190
617.00,0.0190
618.00,0.0189
619.00,0.0188
620.00,0.0187
621.00,0.0187
622.00,0.0185
623.00,0.0184
624.00,0.0183
625.00,0.0182
626.00,0.0181
627.00,0.0181
628.00,0.0180
629.00,0.0179
630.00,0.0178
631.00,0.0176
632.00,0.0176
633.00,0.0174
634.00,0.0173
635.00,0.0172
636.00,0.0172
637.00,0.0171
638.00,0.0169
639.00,0.0168
640.00,0.0168
641.00,0.0167
642.00,0.0165
643.00,0.0164
644.00,0.0163
645.00,0.0162
646.00,0.0161
647.00,0.0160
648.00,0.0159
649.00,0.0157
650.00,0.0155
651.00,0.0154
652.00,0.0153
653.00,0.0152
654.00,0.0152
655.00,0.0151
656.00,0.0149
657.00,0.0148
658.00,0.0146
659.00,0.0145
660.00,0.0143
661.00,0.0142
662.00,0.0141
663.00,0.0139
664.00,0.0138
665.00,0.0137
666.00,0.0136
667.00,0.0134
668.00,0.0133
669.00,0.0132
670.00,0.0131
671.00,0.0129
672.00,0.0128
673.00,0.0128
674.00,0.0126
675.00,0.0126
676.00,0.0125
677.00,0.0124
678.00,0.0122
679.00,0.0122
680.00,0.0120
681.00,0.0119
682.00,0.0118
683.00,0.0117
684.00,0.0116
685.00,0.0116
686.00,0.0114
687.00,0.0113
688.00,0.0112
689.00,0.0111
690.00,0.0109
691.00,0.0108
692.00,0.0107
693.00,0.0108
694.00,0.0106
695.00,0.0106
696.00,0.0105
697.00,0.0104
698.00,0.0103
699.00,0.0102
700.00,0.0100
