"8mn+2cr G2B1 - RawData"
"Wavelength nm.","Abs."
200.00,4.0000
201.00,4.0000
202.00,3.8755
203.00,3.2482
204.00,2.7684
205.00,2.4955
206.00,2.2561
207.00,2.0698
208.00,1.9128
209.00,1.7875
210.00,1.6872
211.00,1.6073
212.00,1.5327
213.00,1.4771
214.00,1.4274
215.00,1.3855
216.00,1.3503
217.00,1.3196
218.00,1.2938
219.00,1.2707
220.00,1.2510
221.00,1.2343
222.00,1.2174
223.00,1.2031
224.00,1.1892
225.00,1.1755
226.00,1.1620
227.00,1.1485
228.00,1.1351
229.00,1.1204
230.00,1.1061
231.00,1.0913
232.00,1.0756
233.00,1.0594
234.00,1.0420
235.00,1.0238
236.00,1.0047
237.00,0.9851
238.00,0.9653
239.00,0.9447
240.00,0.9242
241.00,0.9027
242.00,0.8809
243.00,0.8586
244.00,0.8365
245.00,0.8146
246.00,0.7928
247.00,0.7708
248.00,0.7497
249.00,0.7292
250.00,0.7097
251.00,0.6912
252.00,0.6737
253.00,0.6566
254.00,0.6408
255.00,0.6244
256.00,0.6090
257.00,0.5943
258.00,0.5807
259.00,0.5682
260.00,0.5562
261.00,0.5449
262.00,0.5348
263.00,0.5250
264.00,0.5164
265.00,0.5088
266.00,0.5024
267.00,0.4972
268.00,0.4932
269.00,0.4902
270.00,0.4889
271.00,0.4887
272.00,0.4902
273.00,0.4936
274.00,0.4976
275.00,0.5029
276.00,0.5103
277.00,0.5195
278.00,0.5305
279.00,0.5424
280.00,0.5547
281.00,0.5687
282.00,0.5844
283.00,0.6027
284.00,0.6224
285.00,0.6422
286.00,0.6613
287.00,0.6817
288.00,0.7045
289.00,0.7285
290.00,0.7557
291.00,0.7788
292.00,0.7995
293.00,0.8201
294.00,0.8435
295.00,0.8681
296.00,0.8942
297.00,0.9171
298.00,0.9342
299.00,0.9472
300.00,0.9622
301.00,0.9801
302.00,1.0012
303.00,1.0227
304.00,1.0335
305.00,1.0402
306.00,1.0393
307.00,1.0429
308.00,1.0510
309.00,1.0656
310.00,1.0742
311.00,1.0755
312.00,1.0661
313.00,1.0531
314.00,1.0417
315.00,1.0396
316.00,1.0446
317.00,1.0501
318.00,1.0505
319.00,1.0411
320.00,1.0252
321.00,1.0075
322.00,0.9954
323.00,0.9916
324.00,0.9923
325.00,0.9936
326.00,0.9911
327.00,0.9830
328.00,0.9699
329.00,0.9577
330.00,0.9504
331.00,0.9465
332.00,0.9461
333.00,0.9456
334.00,0.9454
335.00,0.9425
336.00,0.9375
337.00,0.9335
338.00,0.9291
339.00,0.9263
340.00,0.9252
341.00,0.9228
342.00,0.9221
343.00,0.9209
344.00,0.9210
345.00,0.9191
346.00,0.9162
347.00,0.9143
348.00,0.9081
349.00,0.9035
350.00,0.8993
351.00,0.8940
352.00,0.8875
353.00,0.8813
354.00,0.8751
355.00,0.8658
356.00,0.8568
357.00,0.8472
358.00,0.8357
359.00,0.8273
360.00,0.8039
361.00,0.7928
362.00,0.7815
363.00,0.7700
364.00,0.7571
365.00,0.7441
366.00,0.7294
367.00,0.7159
368.00,0.7019
369.00,0.6881
370.00,0.6758
371.00,0.6629
372.00,0.6503
373.00,0.6374
374.00,0.6253
375.00,0.6147
376.00,0.6012
377.00,0.5849
378.00,0.5709
379.00,0.5549
380.00,0.5423
381.00,0.5298
382.00,0.5174
383.00,0.5055
384.00,0.4938
385.00,0.4813
386.00,0.4702
387.00,0.4575
388.00,0.4454
389.00,0.4346
390.00,0.4242
391.00,0.4144
392.00,0.4047
393.00,0.3959
394.00,0.3878
395.00,0.3796
396.00,0.3724
397.00,0.3642
398.00,0.3575
399.00,0.3506
400.00,0.3440
401.00,0.3378
402.00,0.3319
403.00,0.3264
404.00,0.3210
405.00,0.3162
406.00,0.3118
407.00,0.3074
408.00,0.3036
409.00,0.3001
410.00,0.2966
411.00,0.2937
412.00,0.2904
413.00,0.2877
414.00,0.2854
415.00,0.2829
416.00,0.2806
417.00,0.2787
418.00,0.2765
419.00,0.2751
420.00,0.2735
421.00,0.2721
422.00,0.2706
423.00,0.2695
424.00,0.2686
425.00,0.2672
426.00,0.2660
427.00,0.2649
428.00,0.2641
429.00,0.2631
430.00,0.2623
431.00,0.2617
432.00,0.2612
433.00,0.2608
434.00,0.2607
435.00,0.2610
436.00,0.2612
437.00,0.2616
438.00,0.2622
439.00,0.2624
440.00,0.2627
441.00,0.2631
442.00,0.2636
443.00,0.2638
444.00,0.2644
445.00,0.2654
446.00,0.2670
447.00,0.2689
448.00,0.2714
449.00,0.2746
450.00,0.2778
451.00,0.2814
452.00,0.2848
453.00,0.2882
454.00,0.2912
455.00,0.2939
456.00,0.2964
457.00,0.2989
458.00,0.3015
459.00,0.3045
460.00,0.3084
461.00,0.3133
462.00,0.3193
463.00,0.3265
464.00,0.3351
465.00,0.3443
466.00,0.3542
467.00,0.3643
468.00,0.3737
469.00,0.3822
470.00,0.3898
471.00,0.3960
472.00,0.4013
473.00,0.4061
474.00,0.4107
475.00,0.4163
476.00,0.4234
477.00,0.4329
478.00,0.4443
479.00,0.4584
480.00,0.4746
481.00,0.4929
482.00,0.5123
483.00,0.5320
484.00,0.5512
485.00,0.5688
486.00,0.5836
487.00,0.5961
488.00,0.6051
489.00,0.6114
490.00,0.6155
491.00,0.6190
492.00,0.6229
493.00,0.6291
494.00,0.6383
495.00,0.6514
496.00,0.6694
497.00,0.6917
498.00,0.7174
499.00,0.7457
500.00,0.7744
501.00,0.8047
502.00,0.8336
503.00,0.8589
504.00,0.8803
505.00,0.8955
506.00,0.9046
507.00,0.9073
508.00,0.9047
509.00,0.8989
510.00,0.8913
511.00,0.8848
512.00,0.8815
513.00,0.8830
514.00,0.8902
515.00,0.9041
516.00,0.9243
517.00,0.9501
518.00,0.9802
519.00,1.0123
520.00,1.0467
521.00,1.0789
522.00,1.1079
523.00,1.1313
524.00,1.1472
525.00,1.1544
526.00,1.1521
527.00,1.1404
528.00,1.1213
529.00,1.0962
530.00,1.0670
531.00,1.0376
532.00,1.0112
533.00,0.9890
534.00,0.9735
535.00,0.9657
536.00,0.9646
537.00,0.9708
538.00,0.9832
539.00,1.0002
540.00,1.0204
541.00,1.0403
542.00,1.0609
543.00,1.0793
544.00,1.0929
545.00,1.0995
546.00,1.0982
547.00,1.0878
548.00,1.0679
549.00,1.0389
550.00,1.0021
551.00,0.9595
552.00,0.9142
553.00,0.8676
554.00,0.8226
555.00,0.7810
556.00,0.7460
557.00,0.7143
558.00,0.6892
559.00,0.6701
560.00,0.6563
561.00,0.6474
562.00,0.6425
563.00,0.6403
564.00,0.6398
565.00,0.6400
566.00,0.6398
567.00,0.6381
568.00,0.6339
569.00,0.6262
570.00,0.6145
571.00,0.5985
572.00,0.5783
573.00,0.5548
574.00,0.5271
575.00,0.4960
576.00,0.4635
577.00,0.4296
578.00,0.3970
579.00,0.3656
580.00,0.3361
581.00,0.3087
582.00,0.2844
583.00,0.2627
584.00,0.2439
585.00,0.2275
586.00,0.2135
587.00,0.2018
588.00,0.1918
589.00,0.1833
590.00,0.1767
591.00,0.1706
592.00,0.1655
593.00,0.1613
594.00,0.1575
595.00,0.1545
596.00,0.1517
597.00,0.1492
598.00,0.1470
599.00,0.1449
600.00,0.1431
601.00,0.1411
602.00,0.1393
603.00,0.1375
604.00,0.1358
605.00,0.1340
606.00,0.1324
607.00,0.1307
608.00,0.1292
609.00,0.1277
610.00,0.1262
611.00,0.1249
612.00,0.1237
613.00,0.1224
614.00,0.1214
615.00,0.1203
616.00,0.1192
617.00,0.1183
618.00,0.1173
619.00,0.1165
620.00,0.1156
621.00,0.1148
622.00,0.1139
623.00,0.1132
624.00,0.1124
625.00,0.1115
626.00,0.1108
627.00,0.1100
628.00,0.1092
629.00,0.1084
630.00,0.1077
631.00,0.1068
632.00,0.1060
633.00,0.1052
634.00,0.1044
635.00,0.1035
636.00,0.1027
637.00,0.1019
638.00,0.1010
639.00,0.1002
640.00,0.0994
641.00,0.0985
642.00,0.0975
643.00,0.0967
644.00,0.0956
645.00,0.0948
646.00,0.0938
647.00,0.0929
648.00,0.0919
649.00,0.0909
650.00,0.0900
651.00,0.0889
652.00,0.0879
653.00,0.0870
654.00,0.0861
655.00,0.0851
656.00,0.0840
657.00,0.0829
658.00,0.0819
659.00,0.0808
660.00,0.0799
661.00,0.0790
662.00,0.0780
663.00,0.0770
664.00,0.0762
665.00,0.0753
666.00,0.0743
667.00,0.0732
668.00,0.0723
669.00,0.0714
670.00,0.0704
671.00,0.0695
672.00,0.0685
673.00,0.0677
674.00,0.0667
675.00,0.0659
676.00,0.0651
677.00,0.0641
678.00,0.0632
679.00,0.0624
680.00,0.0614
681.00,0.0605
682.00,0.0596
683.00,0.0587
684.00,0.0578
685.00,0.0569
686.00,0.0561
687.00,0.0552
688.00,0.0542
689.00,0.0534
690.00,0.0525
691.00,0.0517
692.00,0.0509
693.00,0.0502
694.00,0.0494
695.00,0.0486
696.00,0.0479
697.00,0.0472
698.00,0.0465
699.00,0.0457
700.00,0.0450
