"6Mn+4cr G2B1 - RawData"
"Wavelength nm.","Abs."
551.00,0.6161
552.00,0.5893
553.00,0.5615
554.00,0.5347
555.00,0.5102
556.00,0.4892
557.00,0.4701
558.00,0.4549
559.00,0.4433
560.00,0.4348
561.00,0.4289
562.00,0.4255
563.00,0.4233
564.00,0.4225
565.00,0.4218
566.00,0.4211
567.00,0.4194
568.00,0.4164
569.00,0.4111
570.00,0.4038
571.00,0.3939
572.00,0.3815
573.00,0.3674
574.00,0.3506
575.00,0.3322
576.00,0.3130
577.00,0.2928
578.00,0.2736
579.00,0.2549
580.00,0.2374
581.00,0.2212
582.00,0.2067
583.00,0.1937
584.00,0.1824
585.00,0.1725
586.00,0.1639
587.00,0.1567
588.00,0.1506
589.00,0.1452
590.00,0.1409
591.00,0.1370
592.00,0.1336
593.00,0.1308
594.00,0.1282
595.00,0.1260
596.00,0.1240
597.00,0.1222
598.00,0.1205
599.00,0.1189
600.00,0.1174
601.00,0.1159
602.00,0.1145
603.00,0.1131
604.00,0.1117
605.00,0.1104
606.00,0.1091
607.00,0.1078
608.00,0.1067
609.00,0.1054
610.00,0.1042
611.00,0.1031
612.00,0.1021
613.00,0.1011
614.00,0.1002
615.00,0.0992
616.00,0.0983
617.00,0.0975
618.00,0.0967
619.00,0.0959
620.00,0.0952
621.00,0.0944
622.00,0.0935
623.00,0.0929
624.00,0.0922
625.00,0.0914
626.00,0.0907
627.00,0.0900
628.00,0.0893
629.00,0.0886
630.00,0.0880
631.00,0.0872
632.00,0.0865
633.00,0.0858
634.00,0.0851
635.00,0.0844
636.00,0.0838
637.00,0.0831
638.00,0.0823
639.00,0.0817
640.00,0.0811
641.00,0.0803
642.00,0.0795
643.00,0.0788
644.00,0.0781
645.00,0.0774
646.00,0.0766
647.00,0.0759
648.00,0.0752
649.00,0.0744
650.00,0.0737
651.00,0.0729
652.00,0.0721
653.00,0.0715
654.00,0.0708
655.00,0.0701
656.00,0.0693
657.00,0.0685
658.00,0.0678
659.00,0.0670
660.00,0.0663
661.00,0.0656
662.00,0.0650
663.00,0.0643
664.00,0.0637
665.00,0.0631
666.00,0.0623
667.00,0.0616
668.00,0.0610
669.00,0.0602
670.00,0.0596
671.00,0.0589
672.00,0.0582
673.00,0.0576
674.00,0.0569
675.00,0.0563
676.00,0.0558
677.00,0.0551
678.00,0.0545
679.00,0.0539
680.00,0.0532
681.00,0.0526
682.00,0.0519
683.00,0.0513
684.00,0.0507
685.00,0.0500
686.00,0.0494
687.00,0.0488
688.00,0.0481
689.00,0.0475
690.00,0.0468
691.00,0.0463
692.00,0.0457
693.00,0.0452
694.00,0.0447
695.00,0.0441
696.00,0.0436
697.00,0.0431
698.00,0.0426
699.00,0.0420
700.00,0.0415
