Sample	TiO2
Comments	TiO2
Filename	C:\Users\Rigaku\Desktop\TiO2.raw
Goniometer	MiniFlex2 goniometer
Attachment	Standard sample holder
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
DivSlit	1.25 deg.
SctSlit	1.25 deg.
RecSlit	0.3mm
Start	10
Stop	80
Step	0.1
52.7	165.333
52.8	158.667
52.9	170.667
53	162.667
53.1	174
53.2	166.667
53.3	185.333
53.4	169.333
53.5	186
53.6	198
53.7	228
53.8	270.667
53.9	354
54	494.667
54.1	918.667
54.2	2539.33
54.3	4088
54.4	3028
54.5	1719.33
54.6	618
54.7	359.333
54.8	290.667
54.9	220.667
55	230.667
55.1	218.667
55.2	176.667
55.3	175.333
55.4	192.667
55.5	157.333
55.6	165.333
55.7	153.333
55.8	176
55.9	172.667
56	175.333
56.1	194
56.2	188.667
56.3	241.333
56.4	290
56.5	626
56.6	1164
56.7	960.667
56.8	684
56.9	358.667
57	210.667
57.1	216
57.2	158.667
57.3	162.667
57.4	169.333
57.5	145.333
57.6	151.333
57.7	134
57.8	157.333
57.9	146.667
58	134.667
58.1	138.667
58.2	144.667
58.3	144
58.4	132
58.5	152.667
58.6	144.667
58.7	150
58.8	140.667
58.9	144
59	148
59.1	150
59.2	166.667
59.3	150
59.4	154
59.5	136.667
59.6	166
59.7	141.333
59.8	139.333
59.9	150
60	142
60.1	134
60.2	134
60.3	144
60.4	134.667
60.5	162
60.6	153.333
60.7	146
60.8	141.333
60.9	132
61	138
61.1	160.667
61.2	140
61.3	144.667
61.4	142.667
61.5	152.667
61.6	174
61.7	161.333
61.8	139.333
61.9	166.667
62	165.333
62.1	164.667
62.2	181.333
62.3	157.333
62.4	198.667
62.5	238.667
62.6	461.333
62.7	813.333
62.8	685.333
62.9	568
63	311.333
63.1	192
63.2	148.667
63.3	164
63.4	158
63.5	142
63.6	161.333
63.7	170.667
63.8	226
63.9	314
64	544.667
64.1	499.333
64.2	416
64.3	284.667
64.4	202
64.5	202
64.6	140
64.7	161.333
64.8	146
64.9	142.667
65	140.667
65.1	133.333
65.2	146
65.3	146.667
65.4	146.667
65.5	168
65.6	158.667
65.7	158
65.8	146.667
65.9	137.333
66	160.667
66.1	154.667
66.2	150.667
66.3	141.333
66.4	150.667
66.5	130
66.6	142.667
66.7	140.667
66.8	134.667
66.9	146
67	149.333
67.1	142
67.2	154.667
67.3	145.333
67.4	138.667
67.5	145.333
67.6	139.333
67.7	147.333
67.8	141.333
67.9	132
68	150.667
68.1	160.667
68.2	163.333
68.3	170.667
68.4	176.667
68.5	184
68.6	214.667
68.7	296.667
68.8	441.333
68.9	883.333
69	1190.67
69.1	939.333
69.2	774.667
69.3	432.667
69.4	347.333
69.5	282
69.6	382.667
69.7	760
69.8	897.333
69.9	616
70	500.667
70.1	282
70.2	198
70.3	184
70.4	164.667
70.5	156
70.6	148.667
70.7	138
70.8	143.333
70.9	134.667
71	139.333
71.1	138
71.2	138
71.3	124.667
71.4	133.333
71.5	134
71.6	127.333
71.7	144.667
71.8	152
71.9	146
72	154.667
72.1	140.667
72.2	144
72.3	184.667
72.4	194
72.5	174
72.6	156.667
72.7	156.667
72.8	140.667
72.9	146
73	147.333
73.1	142.667
73.2	137.333
73.3	121.333
73.4	146
73.5	131.333
73.6	138.667
73.7	122
73.8	127.333
73.9	125.333
74	124.667
74.1	129.333
74.2	124.667
74.3	158.667
74.4	142.667
74.5	129.333
74.6	137.333
74.7	129.333
74.8	131.333
74.9	130.667
75	133.333
75.1	132
75.2	119.333
75.3	123.333
75.4	132
75.5	122
75.6	120
75.7	135.333
75.8	138
75.9	134.667
76	153.333
76.1	141.333
76.2	148
76.3	154
76.4	212
76.5	268.667
76.6	260.667
76.7	201.333
76.8	188.667
76.9	158
77	150.667
77.1	118
77.2	118.667
77.3	118
77.4	130.667
77.5	119.333
77.6	117.333
77.7	126.667
77.8	128.667
77.9	132.667
78	128.667
78.1	116
78.2	118
78.3	128
78.4	126.667
78.5	128.667
78.6	124
78.7	122
78.8	124.667
78.9	110
79	118.667
79.1	122.667
79.2	146
79.3	125.333
79.4	129.333
79.5	126.667
79.6	152.667
79.7	164
79.8	200
79.9	174.667
80	165.333
